Asset,Session,Hour,Setup,Scenario,Total Cases,Successful Continuation Cases,Success %
GER40 / DAX,UK Open / Morning,08:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,47,33,70.2127659574468
GER40 / DAX,UK Open / Morning,08:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,60,44,73.33333333333333
GER40 / DAX,UK Open / Morning,09:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,33,10,30.303030303030305
GER40 / DAX,UK Open / Morning,09:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,27,10,37.03703703703704
GER40 / DAX,UK Open / Morning,10:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,42,10,23.809523809523807
GER40 / DAX,UK Open / Morning,10:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,48,9,18.75
GER40 / DAX,UK Open / Morning,11:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,35,0,
GER40 / DAX,UK Open / Morning,11:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,38,0,
UK100,UK Open / Morning,08:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,81,55,67.90123456790124
UK100,UK Open / Morning,08:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,59,37,62.71186440677966
UK100,UK Open / Morning,09:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,54,16,29.629629629629626
UK100,UK Open / Morning,09:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,33,10,30.303030303030305
UK100,UK Open / Morning,10:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,62,21,33.87096774193548
UK100,UK Open / Morning,10:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,55,9,16.363636363636363
UK100,UK Open / Morning,11:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,74,0,
UK100,UK Open / Morning,11:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,45,0,
US500,US Session,14:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,99,77,79.38144329896907
US500,US Session,14:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,91,73,80.21978021978022
US500,US Session,15:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,68,42,61.76470588235294
US500,US Session,15:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,57,32,56.14035087719298
US500,US Session,16:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,66,20,30.303030303030305
US500,US Session,16:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,55,8,14.545454545454545
US500,US Session,17:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,69,0,
US500,US Session,17:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,57,0,
US30,US Session,15:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,18,7,38.88888888888889
US30,US Session,15:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,25,13,52.0
US30,US Session,16:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,24,6,25.0
US30,US Session,16:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,17,4,23.52941176470588
US30,US Session,17:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,21,8,38.095238095238095
US30,US Session,17:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,28,7,25.0
US30,US Session,18:00,Bullish,Uses previous daily candle colour. Previous daily candle was green; selected 1H candle sweeps previous 1H low and closes back above it; later session/window breaks upward through the opposite previous 1H high.,25,0,
US30,US Session,18:00,Bearish,Uses previous daily candle colour. Previous daily candle was red; selected 1H candle sweeps previous 1H high and closes back below it; later session/window breaks downward through the opposite previous 1H low.,19,0,
